时间,上证指数,上证50,沪深300,中证500,万得全A
2016-03-23,0.025644161209351733,0.02527878743604742,0.025848116489841883,0.031229650761735703,0.03246184875219778
2016-03-24,0.025627472008232816,0.025246974749081077,0.02582426640416071,0.031229728588589637,0.032451534163510855
2016-03-25,0.02563068198784963,0.02524609869178126,0.025826436935298527,0.03123169507892253,0.03245387863229362
2016-03-28,0.02562613482576136,0.025225896323403482,0.025816171162982977,0.031227933172599268,0.03244702256104861
2016-03-29,0.025606644074652532,0.025210436334670364,0.025790182203732578,0.031213209206736682,0.032424732147926544
2016-03-30,0.02566885653779171,0.02524548943965179,0.025844133919140484,0.03129780107775241,0.03250174695700369
2016-03-31,0.025664245026505224,0.02523340728744517,0.025839584450328607,0.031290281106154054,0.032501751911484716
2016-04-01,0.025661563375824186,0.02521789337252688,0.025839140918106747,0.031288744780563794,0.03250013861812331
2016-04-05,0.025678310263146428,0.025220947054763757,0.025850928183928992,0.031325234581931684,0.032528734739795555
2016-04-06,0.02562398956504551,0.025119513647218563,0.025781887410015674,0.031317367921324335,0.03250739604718208
2016-04-07,0.02563048715801188,0.02512402596083582,0.025792068849562123,0.03133143874867078,0.03252411709683073
2016-04-08,0.02561125032416737,0.02510434884519098,0.02576864667387387,0.03130034431143837,0.03249568859905077
2016-04-11,0.025632272850021738,0.02511403018082702,0.025785184045178017,0.031310262026566775,0.03251199343712241
2016-04-12,0.025624086387516294,0.025099557236613442,0.025775072519073107,0.03129797666449068,0.032497364278750024
2016-04-13,0.02558890456955807,0.0250583107555937,0.025752135469341127,0.03127433189079467,0.03247675785036324
2016-04-14,0.025585014438209583,0.02501908870560852,0.025747713442871592,0.0312771403203287,0.03248215603383661
2016-04-15,0.02557918980786409,0.025016645955495125,0.025743791025301693,0.0312737841506987,0.03247781824441939
2016-04-18,0.02556207446566114,0.024993737036001645,0.025724648143433233,0.031243106823985047,0.032452519425093244
2016-04-19,0.025523409271035535,0.024964873530435007,0.025699049778080886,0.031213600353191175,0.03242605921284001
2016-04-20,0.025560517991584458,0.024963750116654058,0.02571910121264392,0.03134206110884305,0.032512293472166214
2016-04-21,0.02555272013754431,0.024964000983201434,0.025710144972967214,0.031251332397583716,0.032472308640849344
2016-04-22,0.025491334504777526,0.024812347575442824,0.0256354727733475,0.03124114353746346,0.03244551686506219
2016-04-25,0.025449807318240984,0.02478795355427201,0.02560659797004584,0.031237111232137155,0.032435402121326715
2016-04-26,0.0254355903184669,0.024755303975674346,0.02559223712934729,0.031227831812347697,0.032421808749986125
2016-04-27,0.025406770811198992,0.024732779889307367,0.025552734106847476,0.031148280477728635,0.03235802228159955
2016-04-28,0.0253549081516662,0.02467012324502202,0.0254938773437227,0.03110299280892558,0.03230202497697098
2016-04-29,0.025353092551803878,0.02466699231666088,0.025493695472672353,0.03109469963140062,0.03229885920093849
2016-05-03,0.02538299446020714,0.024663330312249387,0.025519162401521894,0.031157265127318704,0.032345714618856804
2016-05-04,0.02530341009823432,0.02460149657054894,0.025475457026019405,0.031148176857363614,0.03232776656437872
2016-05-05,0.025296447930386014,0.02459820211146702,0.02546385688794924,0.0310992651690947,0.032299505668286176
2016-05-06,0.02535359001388373,0.024630216382567488,0.025506740158406517,0.031167111421146285,0.032363061250187265
2016-05-09,0.02540559137879706,0.02464244585210966,0.025534928329955946,0.031246274522022388,0.0324359598379326
2016-05-10,0.025397541140040877,0.02463724054286865,0.025528494591155446,0.03124405054602588,0.03243008540141073
2016-05-11,0.02527681077662104,0.02453167930095412,0.02541422720546165,0.03116292135347978,0.032349374612630905
2016-05-12,0.02525935527849279,0.02453303537068916,0.02540992812966732,0.031151701328476902,0.03234444430296219
2016-05-13,0.025203949224199034,0.024520388891288564,0.02538794886342737,0.031122373011355182,0.032320525046278775
2016-05-16,0.0251654141889899,0.024518689551239765,0.025358045909344117,0.03104749724328179,0.03226093011388614
2016-05-17,0.025085455499238008,0.024485572768057868,0.025285608804917488,0.03091966056587097,0.032149735895323474
2016-05-18,0.025072455155017034,0.024481751318103546,0.025272668566752494,0.0309300151605755,0.03214660585835762
2016-05-19,0.025071087923695327,0.02446718087467161,0.025270931500741604,0.030926812695188398,0.032147180132954194
2016-05-20,0.025075964904736542,0.02446936969397226,0.025273867995268217,0.030937676949946764,0.032154028165093086
2016-05-23,0.02506398583247466,0.024434912774122606,0.025253943672573075,0.030948403598494795,0.03215756719887338
2016-05-24,0.025065625607884747,0.02440838957411381,0.02525224067140381,0.03093025370552583,0.032155358815625194
2016-05-25,0.024979805579701517,0.02427417826729326,0.02515201406943967,0.030886558839875983,0.032087932906582295
2016-05-26,0.0249760187663569,0.024274104657620976,0.02514945177853293,0.030867965368553088,0.03207299891461101
2016-05-27,0.02494316073752439,0.0242653135360241,0.025118914037652682,0.030772117950312414,0.03201061104680265
2016-05-30,0.024871301518328764,0.024185572036579884,0.025072154464739514,0.030751323172228947,0.03198156658887326
2016-05-31,0.024870313104272714,0.02418147344639086,0.02509143798346413,0.030819014100517062,0.03204498654757752
2016-06-01,0.024831585391020216,0.024171843826046105,0.025055821924623935,0.030742065189087515,0.03197561386339892
2016-06-02,0.024829061732233596,0.024162147432124286,0.025056707114116953,0.0307345292437312,0.03197484021567671
2016-06-03,0.024504979240776846,0.0238202137842977,0.024715856109919783,0.03051320173931631,0.031715450122728216
2016-06-06,0.024504970000302443,0.02382285228775241,0.024715536836464456,0.03050597890301451,0.03170984624310385
2016-06-07,0.02431068156042896,0.023659356913715388,0.024510925389154562,0.030313811431584826,0.031509237547427384
2016-06-08,0.024282021775081035,0.023656770184945594,0.024483408161842746,0.0302090340672761,0.031437589453731554
2016-06-13,0.02435763247354601,0.023693663272336844,0.024552742698121067,0.030330258089330434,0.03154895705127866
2016-06-14,0.024352408483458064,0.023662744928960238,0.024547908602989506,0.030331840753982296,0.031550312514495193
2016-06-15,0.024353791787906854,0.023666203250474735,0.024555708153597592,0.03039071457409565,0.03158745782185322
2016-06-16,0.024308490001672137,0.023467551922843406,0.024505140627102517,0.030386501028361133,0.03158709214464608
2016-06-17,0.024311544314744426,0.02345908295890881,0.024507096619751877,0.03039038992093932,0.03159166586515289
2016-06-20,0.024312403345167502,0.02344903074414171,0.024507636143929843,0.03036691605219756,0.03158008095919694
2016-06-21,0.024310508808911932,0.023446877059864826,0.02450748859051124,0.03035538338195037,0.03157057075409791
2016-06-22,0.024311674321406473,0.023450411366957826,0.02451266568133566,0.03035482213491032,0.03157346515705584
2016-06-23,0.02428539749634253,0.02339913966439759,0.024482295015910212,0.030337765101412943,0.031548783096210065
2016-06-24,0.02420667084285804,0.02336320727237998,0.024427126230734043,0.03024955542721971,0.03146277517139718
2016-06-27,0.024201049212732785,0.023361967792467467,0.024425775022699946,0.030260810460209054,0.03146746366183679
2016-06-28,0.024104179785264322,0.023202159402902527,0.02430455056562107,0.030205539356713478,0.031380146616378106
2016-06-29,0.02378096226869758,0.022970322424189466,0.02402676899972047,0.02990041174164786,0.031078246068339525
2016-06-30,0.023734874858968757,0.02285972547717467,0.023933418577746786,0.02989694678536223,0.031056402566418933
2016-07-01,0.023676464811762943,0.022840456540412273,0.023896352800311056,0.02985969922964859,0.031015138116493035
2016-07-04,0.023619366060911327,0.022778100507221843,0.023823155512467453,0.029813530647032543,0.030941230538716846
2016-07-05,0.023169516534807363,0.02234815742603184,0.023310484964445224,0.029356646495096433,0.030445303866896305
2016-07-06,0.023080386779899487,0.022309717553387277,0.023220569442482533,0.029072979818168167,0.03022049184251716
2016-07-07,0.02280266131064161,0.021834232488321097,0.022816470490294356,0.02889751375869604,0.02995641018257153
2016-07-08,0.02257692836939351,0.021647485530104132,0.022612880062632526,0.028689705872904536,0.029721827543284982
2016-07-11,0.022475507841411984,0.021643641160672786,0.022515908799703856,0.028364969996026192,0.029476612070391164
2016-07-12,0.022214841899785495,0.02147037939327171,0.022304625110304788,0.028113974541402523,0.02917652239735014
2016-07-13,0.022161318712931286,0.021065403762158447,0.022227381125604788,0.02810012487349482,0.029172558776450388
2016-07-14,0.022147727469058194,0.021013037260911624,0.022201013081671692,0.027793253089901274,0.028983981025947625
2016-07-15,0.02183442397989389,0.020515640659123438,0.0217898029395741,0.027751802863448385,0.02856738054186522
