时间,上证指数
2013-10-17,0.9219211220313822
2013-10-18,0.9241276242768044
2013-10-21,0.939063849957585
2013-10-22,0.9312349373514054
2013-10-23,0.9196316337335838
2013-10-24,0.9117184713280374
2013-10-25,0.8985051540443122
2013-10-28,0.8988901756274196
2013-10-29,0.89678182439826
2013-10-30,0.9100928714492509
2013-10-31,0.9021527491079069
2013-11-01,0.9055008361347517
2013-11-04,0.9055311660625238
2013-11-05,0.9087351859324511
2013-11-06,0.9013073023712587
2013-11-07,0.8970076138605634
2013-11-08,0.8872038859572211
2013-11-11,0.8886125426026376
2013-11-12,0.8959005714968808
2013-11-13,0.8795430517007788
2013-11-14,0.8848360453460112
2013-11-15,0.8997149811632222
2013-11-18,0.9255762995769197
2013-11-19,0.9238517061838769
2013-11-20,0.9295335126531881
2013-11-21,0.9291767147528688
2013-11-22,0.9252220291705813
2013-11-25,0.920898750716063
2013-11-26,0.9196173112676909
2013-11-27,0.9271985294637315
2013-11-28,0.9349082286038064
2013-11-29,0.9353850824682237
2013-12-02,0.9298528193927891
2013-12-03,0.9362975077953686
2013-12-04,0.948552483611294
2013-12-05,0.946573034575166
2013-12-06,0.942379500811673
2013-12-09,0.9428395047162168
2013-12-10,0.9425412604264577
2013-12-11,0.9285027163579327
2013-12-12,0.9279256052322685
2013-12-13,0.9250943907245401
2013-12-16,0.9102605285499906
2013-12-17,0.9061398708629502
2013-12-18,0.9049629011657929
2013-12-19,0.8963302454736523
2013-12-20,0.8782173811077386
2013-12-23,0.8802869774291893
2013-12-24,0.8816341317210679
2013-12-25,0.8872995094795023
2013-12-26,0.8732908740897528
2013-12-27,0.8851498758486533
2013-12-30,0.8835819870824332
2013-12-31,0.8913536098250432
2014-01-02,0.8885771576869034
2014-01-03,0.8775189502709863
2014-01-06,0.8617528640664407
2014-01-07,0.8624302324533515
2014-01-08,0.8611761741897735
2014-01-09,0.8541337334606852
2014-01-10,0.8480997628300199
2014-01-13,0.8465268190758378
2014-01-14,0.8538051592431538
2014-01-15,0.8523333152482121
2014-01-16,0.8524820161440948
2014-01-17,0.8445827549554439
2014-01-20,0.838813328694791
2014-01-21,0.8459998365807971
2014-01-22,0.8642972080073245
2014-01-23,0.86026627635661
2014-01-24,0.8654105691059596
2014-01-27,0.8565255852647148
2014-01-28,0.858721556285216
2014-01-29,0.8635242160981326
2014-01-30,0.8564341742324018
2014-02-07,0.8612423102822769
2014-02-10,0.87875363108071
2014-02-11,0.8861692984209942
2014-02-12,0.8888164271171058
2014-02-13,0.8839493162076736
2014-02-14,0.891298847455455
2014-02-17,0.8995414265765265
2014-02-18,0.8926544267272701
2014-02-19,0.9025487231649321
2014-02-20,0.9009597719488703
2014-02-21,0.8903910558672757
2014-02-24,0.8903910558672757
2014-02-25,0.8903910558672757
2014-02-26,0.8903910558672757
2014-02-27,0.8903910558672757
2014-02-28,0.8903910558672757
2014-03-03,0.8903910558672757
2014-03-04,0.8903910558672757
2014-03-05,0.8903910558672757
2014-03-06,0.8903910558672757
2014-03-07,0.8903910558672757
2014-03-10,0.8903910558672757
2014-03-11,0.8903910558672757
2014-03-12,0.8903910558672757
